,CATEGORY,SECTION,REGION,NAME,SCORE,SCORE_REVIEW,REVIEW,LINK,ADDRESS,lat,lng,IMG
0,FOOD,A,제주시,자매국수 본점,3.1,400건,1190.0,https://place.map.kakao.com/21455793,"
제주특별자치도 제주시 탑동로11길 6 2층
(지번) 삼도이동 1167-14
",33.5168155,126.5171326,0
1,FOOD,A,제주시,제주시새우리 제주점,3.4,111건,534.0,https://place.map.kakao.com/2146989435,"
제주특별자치도 제주시 무근성7길 24 1층
(지번) 삼도이동 1053-22
",33.514599,126.5207879,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7C17327DF940428492712821C0E79F5F
2,FOOD,A,제주시,제주김만복 동문시장점,4.4,401건,326.0,https://place.map.kakao.com/942388111,"
제주특별자치도 제주시 북성로 65 1층
(지번) 삼도이동 1158-36
",33.5156844,126.5208593,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_268786486
3,FOOD,A,제주시,도토리키친,3.9,110건,219.0,https://place.map.kakao.com/158548436,"
제주특별자치도 제주시 북성로 59 1층
(지번) 삼도이동 1158-1
",33.5153851,126.5186671,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F210837FFD41E42BFBBCDEF7BD401DD62
4,FOOD,A,제주시,미친부엌,3.2,87건,227.0,https://place.map.kakao.com/26823759,"
제주특별자치도 제주시 탑동로 15 1,2층
(지번) 삼도2동 1192-28
",33.5170276,126.5231102,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F8B5F62E17D65496299E0CC487D475A51
5,FOOD,A,제주시,일통이반,3.5,75건,244.0,https://place.map.kakao.com/1146457759,"
제주특별자치도 제주시 중앙로2길 25 1층
(지번) 삼도이동 9-1
",33.5170648,126.5221484,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5AFF36C3E80D44E8850C11D7E6648CAC
6,FOOD,A,제주시,원조미풍해장국 본점,3.1,52건,48.0,https://place.map.kakao.com/11291795,"
제주특별자치도 제주시 중앙로14길 13
(지번) 삼도2동 143-2
",33.5112617,126.5229262,0
7,FOOD,A,제주시,제주에가면,4.3,40건,177.0,https://place.map.kakao.com/1929674581,"
제주특별자치도 제주시 탑동로 119 1층
(지번) 삼도이동 1158-22
",33.5147226,126.5180767,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F77E4A6F44ED3416F80F15AF6E592012A
8,FOOD,A,제주시,송림반점,3.7,52건,80.0,https://place.map.kakao.com/20807210,"
제주특별자치도 제주시 관덕로 2-1
(지번) 삼도2동 857-1
",33.5124146,126.5198134,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FA763805DF382466C9A79D28222458610
9,FOOD,A,제주시,우무 제주시점,3.5,110건,26.0,https://place.map.kakao.com/1043872917,"
제주특별자치도 제주시 관덕로8길 40-1
(지번) 삼도이동 193-2
",33.5099706,126.5233033,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FBBEC6D69EC59487BBF7D0ABE6E660D71
